Profile,Loan_Type,Credit_Score,Repayment_History,Business_Age,Revenue_Turnover,Profitability,Financial_Documents,GST_Compliance,Property_Security,OD_Requirement,Digital_Transactions,Eway_Bill_Volume,Tax_Status,Corporate_Authorization,Annual_Credits,Monthly_Average_Balance,Account_Utilization,Account_Age,FD_Security,Renewal_History,Debt_Burden,Credit_Engine_Score,Business_Engine_Score,Loan_Engine_Score,Risk_Penalty,Final_Score,Loan_Status,Promoter_Contribution,Project_Report,Project_Profitability,Break_Even,Supplier_Verification,Projected_Cashflow,DSCR,Debt_Equity,Asset_Life,Asset_Coverage,Regulatory_Approval,Previous_Term_Loan_History,Collateral_Value,Plant_Machinery_Investment,MSME_Category,Address_Verification,Industry_Risk,Supplier_History,Entity_KYC,Promoter_Age,Business_Registration,Udyam_Registration,CGTMSE_Eligibility,ITR_Filing,GST_Turnover,Banking_Transactions,Current_Ratio,Raw_Material_Holding,Inventory_Cycle,Debtor_Collection,Creditor_Payment,Working_Capital_Gap,Customer_Concentration,Current_Account_Vintage,Cheque_Bounce_History,Collateral,Promoter_Experience,Commercial_CIBIL,Existing_WC_Loans
0,10,0,0,0,0,0,1,0,,,,,,,,,,,,,,0.0,5.0,5.0,-155,3.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,40,2,3,1,2,3,0,0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,61.67,48.33,73.33,-50,61.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,3,3,1,1,1,1,1,,,,,,,,,,,,,,100.0,33.33,23.33,-20,53.16,0,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,
7,30,2,2,2,2,2,1,0,,,,,,,,,,,,,,66.67,51.67,53.33,-30,57.5,1,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,
2,30,0,0,1,1,0,2,2,,,,,,,,,,,,,,0.0,35.0,51.67,-80,28.58,0,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,,,,,,,,,,,,,
7,10,3,3,3,3,3,3,2,,,,,,,,,,,,,,100.0,95.0,96.67,0,97.33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0
4,30,1,0,2,3,3,3,3,,,,,,,,,,,,,,25.0,93.33,80.0,-25,64.75,1,,,,,,,,,,,,,,1.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,
6,30,2,2,2,2,2,3,3,,,,,,,,,,,,,,53.33,76.67,66.67,0,65.0,1,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
2,40,2,3,1,0,0,1,2,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,61.67,21.67,21.67,-35,35.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40,1,1,2,2,1,1,0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,20.0,43.33,56.67,-30,39.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,40,1,0,3,2,2,3,3,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,25.0,83.33,86.67,-25,64.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1,1,0,2,1,0,0,,,,,,,,,,,,,,33.33,25.0,31.67,-60,30.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1,10,1,1,0,2,2,0,0,,,,,,,,,,,,,,20.0,33.33,10.0,-90,20.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,30,1,0,2,2,2,3,3,,,,,,,,,,,,,,25.0,76.67,60.0,-25,52.75,0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
8,30,3,2,3,3,3,3,3,,,,,,,,,,,,,,78.33,100.0,78.33,0,84.83,2,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,
5,20,2,2,2,1,2,1,0,,,,,,,,,,,,,,66.67,43.33,33.33,-50,48.0,0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,2,3,0,1,0,0,0,,,,,,,,,,,,,,61.67,8.33,13.33,-90,28.75,0,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
6,20,3,3,3,3,3,3,3,,,,,,,,,,,,,,100.0,100.0,93.33,0,97.67,2,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,3,2,3,2,2,2,1,,,,,,,,,,,,,,91.67,68.33,76.67,0,79.42,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,2,2,0,1,1,0,0,,,,,,,,,,,,,,66.67,16.67,35.0,-60,40.59,0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40,2,2,0,3,2,0,0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,66.67,41.67,63.33,-60,58.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,2,3,0,1,1,0,0,,,,,,,,,,,,,,88.33,16.67,25.0,-70,44.67,0,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,
0,20,2,2,0,1,1,0,1,,,,,,,,,,,,,,80.0,21.67,30.0,-40,45.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,3,3,3,3,3,3,2,,,,,,,,,,,,,,86.67,95.0,88.33,0,89.75,2,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,
7,10,3,3,1,3,3,1,1,,,,,,,,,,,,,,100.0,66.67,68.33,0,78.92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0
6,30,3,3,2,3,3,2,2,,,,,,,,,,,,,,86.67,83.33,73.33,0,81.0,2,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
2,40,2,3,0,0,0,0,0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,88.33,0.0,21.67,-100,38.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,1,1,2,2,1,3,3,,,,,,,,,,,,,,20.0,68.33,48.33,-30,44.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0
8,30,2,2,3,2,2,3,2,,,,,,,,,,,,,,53.33,78.33,80.0,0,70.16,1,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,
5,20,2,3,2,2,3,3,3,,,,,,,,,,,,,,75.0,85.0,58.33,0,72.17,1,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,2,3,0,1,0,0,1,,,,,,,,,,,,,,75.0,13.33,26.67,-40,39.58,0,,,,,,,,,,,,,,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,
4,40,2,2,1,2,2,1,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,80.0,50.0,61.67,0,64.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,1,0,3,1,0,3,3,,,,,,,,,,,,,,11.67,58.33,51.67,-35,39.67,0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,2,3,2,1,0,2,3,,,,,,,,,,,,,,75.0,46.67,36.67,-40,53.09,0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,2,2,3,3,3,3,2,,,,,,,,,,,,,,80.0,95.0,96.67,0,90.33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
3,20,2,2,3,1,0,3,3,,,,,,,,,,,,,,66.67,58.33,56.67,-10,60.67,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,2,3,2,1,0,3,2,,,,,,,,,,,,,,75.0,46.67,48.33,-10,57.17,1,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,
1,10,1,0,0,0,0,0,0,,,,,,,,,,,,,,20.0,0.0,23.33,-120,15.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,40,2,2,2,0,1,2,2,1.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,80.0,41.67,25.0,-40,49.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,1,1,3,1,0,3,3,2.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,58.33,13.33,-50,29.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,0,0,0,0,1,0,1,,,,,,,,,,,,,,0.0,13.33,10.0,-130,7.5,0,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
5,10,2,2,3,2,3,3,3,,,,,,,,,,,,,,80.0,91.67,95.0,0,88.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
6,20,2,2,3,2,1,3,2,,,,,,,,,,,,,,80.0,70.0,78.33,0,76.42,1,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,1,0,0,0,1,0,1,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,13.33,10.0,-105,16.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,3,2,3,0,0,3,2,,,,,,,,,,,,,,91.67,45.0,70.0,-20,70.08,1,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,
7,20,3,2,3,3,2,3,3,,,,,,,,,,,,,,91.67,91.67,78.33,0,87.0,2,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,2,2,3,2,1,3,3,,,,,,,,,,,,,,53.33,75.0,80.0,0,69.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0
7,30,2,1,3,3,3,3,3,,,,,,,,,,,,,,58.33,100.0,76.67,0,77.25,2,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,
3,30,3,3,2,2,2,3,2,,,,,,,,,,,,,,100.0,71.67,85.0,0,86.25,2,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,
4,20,1,1,2,2,2,1,0,,,,,,,,,,,,,,46.67,51.67,70.0,-30,56.34,0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,3,3,2,2,3,3,3,,,,,,,,,,,,,,100.0,85.0,85.0,0,90.25,2,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,3,2,1,0,0,2,2,,,,,,,,,,,,,,91.67,26.67,55.0,-30,59.34,1,,,,,,,,,,,,,,3.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,
2,10,0,0,0,0,0,1,1,,,,,,,,,,,,,,0.0,10.0,35.0,-115,15.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,40,3,3,1,2,2,1,0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,100.0,45.0,45.0,-35,64.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,3,3,3,3,3,2,2,,,,,,,,,,,,,,100.0,90.0,86.67,0,92.33,2,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,2,2,2,3,3,1,0,,,,,,,,,,,,,,66.67,68.33,81.67,-20,72.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
3,40,3,3,2,3,2,2,2,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,100.0,75.0,80.0,0,85.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,2,1,2,2,2,3,3,,,,,,,,,,,,,,71.67,76.67,65.0,0,70.84,1,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,3,3,3,2,2,3,3,,,,,,,,,,,,,,91.67,83.33,91.67,0,89.17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0
0,30,3,2,0,2,1,0,0,,,,,,,,,,,,,,91.67,25.0,40.0,-60,53.58,0,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,
5,30,1,1,3,1,1,2,2,,,,,,,,,,,,,,20.0,56.67,55.0,-15,43.25,0,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,,,,,,,,,,,,,
1,40,2,2,0,2,2,0,0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,3.0,3.0,80.0,33.33,71.67,-60,63.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,2,2,1,1,0,1,2,,,,,,,,,,,,,,53.33,30.0,63.33,-10,49.83,0,,,,,,,,,,,,,,3.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
4,40,3,3,2,3,3,2,2,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,86.67,83.33,78.33,-10,82.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,2,2,1,0,0,1,0,,,,,,,,,,,,,,80.0,11.67,18.33,-80,37.92,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,1,1,0,1,2,1,1,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,35.0,10.0,-45,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,1,2,2,3,2,1,1,,,,,,,,,,,,,,38.33,65.0,55.0,-15,52.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0
2,10,2,2,0,0,0,0,0,,,,,,,,,,,,,,58.33,0.0,35.0,-80,32.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
7,10,2,3,2,2,2,1,1,,,,,,,,,,,,,,66.67,56.67,70.0,0,64.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0
4,20,2,2,0,0,0,1,1,,,,,,,,,,,,,,53.33,10.0,21.67,-80,29.25,0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,2,3,3,2,3,3,2,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,75.0,86.67,78.33,0,79.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,1,2,0,3,2,0,0,,,,,,,,,,,,,,28.33,41.67,16.67,-85,28.25,0,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
1,40,0,0,1,1,1,2,2,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,43.33,50.0,-65,30.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,1,1,3,2,2,3,3,,,,,,,,,,,,,,33.33,83.33,68.33,0,60.58,1,,,,,,,,,,,,,,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,
3,30,2,1,1,3,3,1,1,,,,,,,,,,,,,,71.67,66.67,33.33,-10,56.75,1,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,
9,10,3,3,3,3,3,3,3,,,,,,,,,,,,,,100.0,100.0,101.67,0,100.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
2,40,1,0,2,1,2,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,11.67,53.33,23.33,-35,28.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,2,2,0,2,2,1,1,,,,,,,,,,,,,,66.67,43.33,11.67,-45,40.42,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,2,3,3,2,1,3,3,,,,,,,,,,,,,,75.0,75.0,85.0,0,78.5,2,,,,,,,,,,,,,,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,
3,10,0,0,3,3,3,3,3,,,,,,,,,,,,,,0.0,100.0,53.33,-85,48.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0
3,10,1,1,2,1,0,2,2,,,,,,,,,,,,,,20.0,41.67,53.33,-40,38.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0
7,40,3,3,1,3,2,2,2,2.0,2.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,100.0,68.33,90.0,0,87.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,0,0,2,0,1,1,2,,,,,,,,,,,,,,5.0,36.67,46.67,-90,29.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
6,10,2,2,3,2,2,3,2,,,,,,,,,,,,,,75.0,78.33,93.33,0,82.41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
3,10,2,2,2,1,0,2,2,,,,,,,,,,,,,,58.33,41.67,61.67,-10,54.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
1,30,0,0,0,0,0,1,1,,,,,,,,,,,,,,13.33,10.0,11.67,-115,11.75,0,,,,,,,,,,,,,,1.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
7,30,2,2,3,2,3,3,2,,,,,,,,,,,,,,66.67,86.67,90.0,0,80.84,2,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,
3,10,0,1,3,3,3,3,2,,,,,,,,,,,,,,13.33,95.0,46.67,-45,49.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0
1,40,0,0,0,1,0,1,1,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,13.33,18.33,56.67,-85,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
